pid,category,kld
1806.01768,LG,3.636333499784351
1904.12394,RO,5.910318912841685
1905.11533,LG,2.3987074819651406
1412.8657,SI,5.295363273154809
1312.1001,CG,7.0147277451319345
0806.1802,AI,9.880628894762571
1710.09805,CL,4.935787136714518
1807.03959,CV,3.4998605391609043
1712.01192,ET,4.20658726059994
1906.08403,SI,3.6102284952172123
1412.7188,IT,7.163973809776054
1207.3506,NI,8.26080358412466
0904.0643,AI,6.114311939554133
1802.07849,SI,5.241398773068243
1703.09529,CV,7.098604420650811
1902.02258,CC,6.552693298546037
1311.5834,MM,7.278120779403002
1606.07493,AI,5.487706652631371
1202.0798,IT,5.027579790162061
1906.06652,NA,3.4767923185946357
1012.4136,NI,7.595286641638744
0912.0970,OH,7.097966148099991
1509.04355,LG,4.503756817818947
1707.06957,CL,4.524030456196703
1805.12177,CV,3.1200919949213386
1905.09992,LG,4.126976105704802
1007.1087,GT,6.140153882081508
1812.01226,LG,3.6831967709074296
1610.05556,AI,5.65467162227921
cs0610092,CG,6.296391811138671
1309.4085,AI,4.95853053525846
1704.08239,DC,3.811043445895172
1711.07839,LG,3.690344726513691
1804.01110,AI,4.719560654856573
1107.1456,DB,7.823921604788719
1706.03285,CV,5.312589086748262
1701.03759,IT,4.955371378149248
cs0408025,PL,5.773841703305233
1409.1005,DM,6.351751435737162
1907.10873,CL,6.066647954097815
1701.08791,IT,6.680928644258003
1904.08121,IT,6.421843250719448
1709.05360,AI,3.994944176234633
1210.0137,SI,4.927868760618198
1407.2987,IR,4.295670101584088
1212.2291,NI,7.561640480840198
1501.07467,LG,7.791559792659934
1107.0371,DM,5.146161627169843
1309.7119,CE,4.818275827019854
1406.0193,LG,4.376580922400165
1612.00104,AI,5.172606668944255
1602.08151,LG,5.487727256548661
1508.05784,CG,4.824507194542186
cs0312038,AI,4.551483901924398
1906.00549,CL,3.7023969704239788
1404.2393,IT,8.712464833866933
1507.04835,CV,3.671569289616411
1802.06181,CV,4.964557357139719
1201.2374,CC,4.4220221829064075
0708.2843,CR,5.192139353205347
1110.0215,IT,6.650915264633885
1603.07650,IT,5.173527961016495
1204.3968,NE,3.595756051564176
1606.06797,AI,9.673853869280688
0801.4013,CG,3.532907357875255
1803.07179,CV,6.31355410075871
1206.5167,DM,6.019422135079337
1601.05738,SE,4.992898162117779
1803.05846,CV,6.4852002092522545
1502.03407,CR,6.032289308685639
1510.07382,CY,7.806427728533286
1906.06566,LG,4.44325816901857
1506.00395,CV,4.446937938356249
1610.09543,SE,6.072287655036339
1606.01889,NA,4.277531846676491
1902.10952,LG,3.768324574718073
1401.1467,IT,5.99284975328924
1903.03051,DC,3.654184056732692
1711.04993,SY,4.228194224990181
1905.00272,CR,5.932755530611443
1907.06922,CV,4.9381346252900205
1511.01535,SY,5.759782602910615
1809.04471,CV,6.425125599340376
1304.3345,LG,7.172326826720181
1804.05017,CL,7.06254569927408
1104.2380,NI,6.806628645436403
cs0109010,CL,6.152513361408974
0907.3819,NI,5.147274456200343
1710.08891,CR,6.941530355277024
1907.05023,CV,7.518175688523433
1708.05732,NE,6.2272934344378
1301.3590,CV,4.289905228770966
1907.07676,LG,4.370058114233003
1603.01931,RO,5.115317415909219
1007.3341,NI,5.682901240783835
1810.00821,LG,5.436385781495064
1803.11475,IT,4.6642618013987445
1210.3292,DC,5.869409365646112
0808.4135,IT,6.501425922651668
1709.01434,AI,6.0000655999770895
1502.05533,CC,6.758224706056176
1507.00803,SI,3.9122079178405507
1512.05413,CR,6.145119646867963
1803.10281,CR,7.430256178141925
