t1,t2,dist
70_1483151090_secvec.tree,70_899097483_secvec.tree,0.8
70_1483151090_secvec.tree,70_960823486_secvec.tree,0.7714285714285715
70_1483151090_secvec.tree,70_726753492_secvec.tree,0.8857142857142857
70_1483151090_secvec.tree,70_194144408_secvec.tree,0.8
70_1483151090_secvec.tree,70_904371512_secvec.tree,0.8571428571428571
70_1483151090_secvec.tree,70_2036483215_secvec.tree,0.7428571428571429
70_1483151090_secvec.tree,70_2004833430_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_103553856_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_677193715_secvec.tree,0.8571428571428571
70_1483151090_secvec.tree,70_1236438892_secvec.tree,0.9142857142857143
70_1483151090_secvec.tree,70_1990200403_secvec.tree,0.8857142857142857
70_1483151090_secvec.tree,70_534691763_secvec.tree,0.8
70_1483151090_secvec.tree,70_1079848172_secvec.tree,0.9714285714285714
70_1483151090_secvec.tree,70_846482580_secvec.tree,0.8571428571428571
70_1483151090_secvec.tree,70_914478535_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_1892138133_secvec.tree,0.7428571428571429
70_1483151090_secvec.tree,70_356792031_secvec.tree,0.8
70_1483151090_secvec.tree,70_1244669661_secvec.tree,0.9142857142857143
70_1483151090_secvec.tree,70_1508361862_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_253858418_secvec.tree,0.7714285714285715
70_1483151090_secvec.tree,70_785584062_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_1047465157_secvec.tree,0.9142857142857143
70_1483151090_secvec.tree,70_1972657440_secvec.tree,0.8
70_1483151090_secvec.tree,70_921996827_secvec.tree,0.8571428571428571
70_1483151090_secvec.tree,70_135256173_secvec.tree,0.8
70_1483151090_secvec.tree,70_363191729_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_1705755540_secvec.tree,0.8857142857142857
70_1483151090_secvec.tree,70_1976713520_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_491711605_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_305080242_secvec.tree,0.7714285714285715
70_1483151090_secvec.tree,70_66706771_secvec.tree,0.8857142857142857
70_1483151090_secvec.tree,70_666612403_secvec.tree,0.8
70_1483151090_secvec.tree,70_2125638508_secvec.tree,0.8
70_1483151090_secvec.tree,70_703039130_secvec.tree,0.8
70_1483151090_secvec.tree,70_1871503287_secvec.tree,0.8571428571428571
70_1483151090_secvec.tree,70_1985581878_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_1114260441_secvec.tree,0.7428571428571429
70_1483151090_secvec.tree,70_1852002862_secvec.tree,0.7714285714285715
70_1483151090_secvec.tree,70_1227020512_secvec.tree,0.9428571428571428
70_1483151090_secvec.tree,70_1086681291_secvec.tree,0.7428571428571429
70_1483151090_secvec.tree,70_1003024478_secvec.tree,0.7714285714285715
70_1483151090_secvec.tree,70_326668592_secvec.tree,0.8571428571428571
70_1483151090_secvec.tree,70_1618441396_secvec.tree,0.8
70_1483151090_secvec.tree,70_1867380093_secvec.tree,0.8857142857142857
70_1483151090_secvec.tree,70_1768786612_secvec.tree,0.8571428571428571
70_1483151090_secvec.tree,70_1046741270_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_356357425_secvec.tree,0.7428571428571429
70_1483151090_secvec.tree,70_2095580891_secvec.tree,0.8
70_1483151090_secvec.tree,70_1562603028_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_1701505624_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_270824247_secvec.tree,0.7714285714285715
70_1483151090_secvec.tree,70_971826652_secvec.tree,0.8
70_1483151090_secvec.tree,70_739509613_secvec.tree,0.7714285714285715
70_1483151090_secvec.tree,70_1545293443_secvec.tree,0.7714285714285715
70_1483151090_secvec.tree,70_1153842534_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_1728264162_secvec.tree,0.8285714285714286
70_1483151090_secvec.tree,70_1710464334_secvec.tree,0.7142857142857143
