-7	0.299	0.26379	0.29608
-6	0.27599	0.23923	0.27597
-5	0.24823	0.21323	0.25492
-4	0.22548	0.18611	0.23319
-3	0.19778	0.15837	0.2111
-2	0.17498	0.13064	0.18901
-1	0.14577	0.10376	0.16733
0	0.1252	0.07865	0.14645
1	0.097091	0.056282	0.12673
2	0.075843	0.037506	0.10848
3	0.052416	0.022878	0.091913
4	0.03793	0.012501	0.077137
5	0.023532	0.0059539	0.064183
6	0.015213	0.0023883	0.052999
7	0.0079649	0.00077267	0.043474
8	0.0035965	0.00019091	0.035459
9	0.0015652	3.3627e-05	0.028782
10	0.00073829	3.8721e-06	0.023269
11	0.00021266	2.6131e-07	0.018748
12	7.513e-05	9.006e-09	0.015065
13	1.2309e-05	1.3329e-10	0.012078
14	2.5799e-06	6.8102e-13	0.009665
15	1.8059e-07	9.124e-16	0.007723
16	2.5797e-08	2.2674e-19	0.0061638
17	0	6.759e-24	0.0049147
18	0	1.396e-29	0.0039157
19	0	1.0011e-36	0.0031179
20	0	1.0442e-45	0.0024814
21	0	5.2997e-57	0.0019741
22	0	3.2961e-71	0.00157
