1	0.32245	0.46507	0.4227	0.26625	256	0.40302
2	0.29973	0.46807	0.41381	0.23025	256	0.38909
3	0.27706	0.35508	0.40298	0.19013	256	0.36992
4	0.24046	0.33948	0.39304	0.15771	256	0.35266
5	0.21697	0.32351	0.38247	0.12114	0.36094	0.32979
6	0.20013	0.31094	0.37427	0.092742	0.35096	0.31276
7	0.1796	0.29687	0.36435	0.062469	0.3457	0.29001
8	0.16763	0.28704	0.35809	0.045973	0.27098	0.27573
9	0.15106	0.27569	0.3496	0.02663	0.21848	0.25172
10	0.13964	0.26852	0.34497	0.015662	0.16409	0.23555
11	0.12782	0.25919	0.33909	0.0075671	0.14123	0.21412
12	0.11902	0.25283	0.33391	0.0036507	0.084237	0.1984
13	0.11108	0.24667	0.33024	0.0013316	0.066379	0.1745
14	0.10422	0.2423	0.32704	0.00057549	0.05375	0.16175
15	0.099974	0.23921	0.32327	0.00020035	0.041735	0.14792
16	0.094629	0.23473	0.32071	5.7437e-05	0.030688	0.13199
17	0.09224	0.23255	0.31844	2.5842e-05	0.02354	0.11796
18	0.090613	0.2307	0.31783	1.3253e-05	0.019263	0.10716
19	0.088687	0.22918	0.3166	5.3174e-06	0.014786	0.10181
20	0.085245	0.22862	0.31548	3.4725e-06	0.011921	0.091343
21	0.086664	0.22629	0.31549	1.2512e-06	0.0099953	0.079836
22	0.085091	0.2263	0.31421	9.8773e-07	0.0090641	0.080587
23	0.085157	0.22487	0.31443	6.2558e-07	0.007173	0.071659
24	0.083796	0.2253	0.31355	3.3956e-07	0.0067482	0.068923
25	0.08373	0.22391	0.31304	3.7538e-07	0.0069979	0.061584
26	0.080546	0.22467	0.31364	3.8095e-07	0.0063248	0.067318
27	0.081841	0.22354	0.31302	3.3545e-07	0.0055386	0.06328
28	0.082459	0.22212	0.31269	3.4415e-07	0.0048381	0.064361
29	0.081748	0.22343	0.31241	1.8517e-07	0.0054202	0.064552
30	0.081804	0.22174	0.31292	6.2567e-08	0.0061752	0.06011
