subfield,acc
AI,0.14033366045142295
AR,0.11320754716981132
CC,0.2740021574973031
CE,0.10963455149501661
CG,0.3756708407871199
CL,0.4708994708994709
CR,0.41798941798941797
CV,0.5813542193026782
CY,0.06911447084233262
DB,0.16374269005847952
DC,0.27406679764243613
DL,0.4175824175824176
DM,0.3019182652210175
DS,0.30813287514318444
ET,0.26506024096385544
FL,0.3271604938271605
GL,0.0
GR,0.046875
GT,0.42159763313609466
HC,0.19414893617021275
IR,0.165
IT,0.7049638778839431
LG,0.36280884265279584
LO,0.3997944501541624
MA,0.01718213058419244
MM,0.0635593220338983
MS,0.022058823529411766
NA,0.20437956204379562
NE,0.13266583229036297
NI,0.3358547655068079
OH,0.0
OS,0.0975609756097561
PF,0.085
PL,0.21364985163204747
RO,0.3528693528693529
SC,0.3901345291479821
SD,0.3342696629213483
SE,0.3319672131147541
SI,0.47235023041474655
SY,0.4275491949910555
