subfield,acc
AI,0.150390625
AR,0.21212121212121213
CC,0.2649945474372955
CE,0.11728395061728394
CG,0.3442340791738382
CL,0.4830713422007255
CR,0.4076858813700919
CV,0.5914760914760915
CY,0.07099391480730223
DB,0.22255192878338279
DC,0.27166504381694256
DL,0.3894230769230769
DM,0.2686084142394822
DS,0.3349112426035503
ET,0.31736526946107785
FL,0.29941860465116277
GL,0.0
GR,0.031446540880503145
GT,0.4206241519674355
HC,0.14497041420118342
IR,0.15901639344262294
IT,0.6986970684039088
LG,0.36253041362530414
LO,0.4084934277047523
MA,0.013157894736842105
MM,0.08450704225352113
MS,0.04375
NA,0.26265060240963856
NE,0.15796178343949044
NI,0.3701399688958009
OH,0.0
OS,0.11363636363636363
PF,0.047619047619047616
PL,0.20364741641337386
RO,0.3402692778457772
SC,0.39737991266375544
SD,0.38095238095238093
SE,0.324435318275154
SI,0.4970104633781764
SY,0.42637759710930445
