subfield,acc
AI,0.12982625482625482
AR,0.10526315789473684
CC,0.2772511848341232
CE,0.09912536443148688
CG,0.31462585034013607
CL,0.4783895796329189
CR,0.3931996512641674
CV,0.5873509590461379
CY,0.07784431137724551
DB,0.16022099447513813
DC,0.2620215897939156
DL,0.39690721649484534
DM,0.2848932676518883
DS,0.29333333333333333
ET,0.25333333333333335
FL,0.2926829268292683
GL,0.0
GR,0.017341040462427744
GT,0.4163372859025033
HC,0.15404040404040403
IR,0.13442622950819672
IT,0.6937470393178589
LG,0.36009625902428355
LO,0.40814299900695133
MA,0.01694915254237288
MM,0.0861244019138756
MS,0.016574585635359115
NA,0.19811320754716982
NE,0.1368421052631579
NI,0.3511278195488722
OH,0.0
OS,0.09523809523809523
PF,0.043478260869565216
PL,0.1850828729281768
RO,0.3099870298313878
SC,0.3236514522821577
SD,0.325
SE,0.3153526970954357
SI,0.45493562231759654
SY,0.44402634054562556
