subfield,acc
AI,0.13701236917221693
AR,0.10989010989010989
CC,0.2625
CE,0.12813370473537605
CG,0.33639705882352944
CL,0.46689895470383275
CR,0.3982608695652174
CV,0.5922533368228212
CY,0.0650759219088937
DB,0.1893491124260355
DC,0.2669208770257388
DL,0.37894736842105264
DM,0.28958509737510585
DS,0.30649970184853903
ET,0.3072289156626506
FL,0.31419939577039274
GL,0.0
GR,0.059880239520958084
GT,0.37344398340248963
HC,0.1358695652173913
IR,0.13043478260869565
IT,0.6929297597042514
LG,0.35506003430531735
LO,0.3722772277227723
MA,0.02280130293159609
MM,0.09813084112149532
MS,0.04666666666666667
NA,0.2505643340857788
NE,0.125
NI,0.3392857142857143
OH,0.0
OS,0.046511627906976744
PF,0.030303030303030304
PL,0.20116618075801748
RO,0.33879093198992444
SC,0.33488372093023255
SD,0.24495677233429394
SE,0.3132780082987552
SI,0.4765739385065886
SY,0.4486486486486487
