subfield,acc
AI,0.1510365251727542
AR,0.18556701030927836
CC,0.26585094549499444
CE,0.10876132930513595
CG,0.3667763157894737
CL,0.4823459006582885
CR,0.3976210705182668
CV,0.5830055074744296
CY,0.051440329218107
DB,0.19658119658119658
DC,0.25149700598802394
DL,0.35858585858585856
DM,0.26245847176079734
DS,0.31124260355029587
ET,0.23076923076923078
FL,0.36482084690553745
GL,0.0
GR,0.01015228426395939
GT,0.4291497975708502
HC,0.17402597402597403
IR,0.13078149920255183
IT,0.6848157709457874
LG,0.3537992597430873
LO,0.39759036144578314
MA,0.009146341463414634
MM,0.06837606837606838
MS,0.0
NA,0.23877068557919623
NE,0.1640953716690042
NI,0.3470007593014427
OH,0.0
OS,0.0
PF,0.024875621890547265
PL,0.2302839116719243
RO,0.32729624838292365
SC,0.37185929648241206
SD,0.3448275862068966
SE,0.3326923076923077
SI,0.4663287472845764
SY,0.425
