subfield,acc
AI,0.15325301204819278
AR,0.11702127659574468
CC,0.2594594594594595
CE,0.09375
CG,0.3566666666666667
CL,0.4849012775842044
CR,0.396357328707719
CV,0.5870882740447958
CY,0.07708333333333334
DB,0.18328840970350405
DC,0.2632084534101825
DL,0.37735849056603776
DM,0.29771615008156604
DS,0.28975265017667845
ET,0.27672955974842767
FL,0.2918918918918919
GL,0.0
GR,0.040229885057471264
GT,0.4053672316384181
HC,0.16890080428954424
IR,0.13930348258706468
IT,0.6878343800883926
LG,0.3555937298690144
LO,0.38578680203045684
MA,0.022292993630573247
MM,0.0825242718446602
MS,0.048484848484848485
NA,0.19646799116997793
NE,0.15920398009950248
NI,0.3292021688613478
OH,0.0
OS,0.07142857142857142
PF,0.06666666666666667
PL,0.22188449848024316
RO,0.35984354628422427
SC,0.4337899543378995
SD,0.32781456953642385
SE,0.3067226890756303
SI,0.47360594795539035
SY,0.44003690036900367
