subfield,acc
AI,0.140543115769414
AR,0.22448979591836735
CC,0.29088913282107576
CE,0.1076923076923077
CG,0.37777777777777777
CL,0.49310964649490713
CR,0.39964943032427697
CV,0.5876851130163678
CY,0.09619686800894854
DB,0.22781065088757396
DC,0.2600401606425703
DL,0.3694581280788177
DM,0.3035294117647059
DS,0.32
ET,0.3315508021390374
FL,0.34310850439882695
GL,0.0
GR,0.0
GT,0.41086350974930363
HC,0.163727959697733
IR,0.14645669291338584
IT,0.6957936323495236
LG,0.3722627737226277
LO,0.42573221757322177
MA,0.012944983818770227
MM,0.07142857142857142
MS,0.04216867469879518
NA,0.2097130242825607
NE,0.14377406931964057
NI,0.350188679245283
OH,0.0
OS,0.023809523809523808
PF,0.06842105263157895
PL,0.2349570200573066
RO,0.3496932515337423
SC,0.3559322033898305
SD,0.34153005464480873
SE,0.35135135135135137
SI,0.4745127436281859
SY,0.43415077202543145
