subfield,acc
AI,0.13687676387582315
AR,0.09722222222222222
CC,0.2722283205268935
CE,0.08522727272727272
CG,0.34615384615384615
CL,0.46365767878077374
CR,0.3776978417266187
CV,0.5895616924246263
CY,0.07231404958677685
DB,0.15384615384615385
DC,0.24750499001996007
DL,0.3482587064676617
DM,0.30102915951972553
DS,0.3113095238095238
ET,0.2883435582822086
FL,0.3072463768115942
GL,0.0
GR,0.02976190476190476
GT,0.4031563845050215
HC,0.13580246913580246
IR,0.13174603174603175
IT,0.6752018454440599
LG,0.3541207580431908
LO,0.43600416233090533
MA,0.023890784982935155
MM,0.03111111111111111
MS,0.015384615384615385
NA,0.21149425287356322
NE,0.15834348355663824
NI,0.32216298552932215
OH,0.0
OS,0.046511627906976744
PF,0.09405940594059406
PL,0.1952662721893491
RO,0.3304878048780488
SC,0.3869346733668342
SD,0.29190751445086704
SE,0.318
SI,0.4711111111111111
SY,0.41637010676156583
