subfield,acc
AI,0.13536701620591038
AR,0.14018691588785046
CC,0.2159214830970556
CE,0.0705521472392638
CG,0.38321167883211676
CL,0.45885885885885885
CR,0.39781328847771236
CV,0.5628286014721346
CY,0.02197802197802198
DB,0.17404129793510326
DC,0.24789522918615528
DL,0.29896907216494845
DM,0.25164473684210525
DS,0.28365384615384615
ET,0.18238993710691823
FL,0.2962962962962963
GL,0.0
GR,0.0
GT,0.41456582633053224
HC,0.10869565217391304
IR,0.11129568106312292
IT,0.6807074703281359
LG,0.35388026607538803
LO,0.36703741152679475
MA,0.003105590062111801
MM,0.0
MS,0.0
NA,0.20638820638820637
NE,0.1295060080106809
NI,0.31849577897160397
OH,0.0
OS,0.024390243902439025
PF,0.0
PL,0.17933130699088146
RO,0.20858164481525626
SC,0.3162393162393162
SD,0.2798913043478261
SE,0.37383177570093457
SI,0.47368421052631576
SY,0.4269854824935952
