subfield,acc
AI,0.14828718911309244
AR,0.09473684210526316
CC,0.26842105263157895
CE,0.134375
CG,0.3644524236983842
CL,0.4723676556137289
CR,0.3951828724353256
CV,0.5798011512297226
CY,0.09702970297029703
DB,0.18475073313782991
DC,0.26710402999062793
DL,0.3700440528634361
DM,0.30744071954210955
DS,0.3120608899297424
ET,0.27044025157232704
FL,0.29362880886426596
GL,0.0
GR,0.012048192771084338
GT,0.4028985507246377
HC,0.17553191489361702
IR,0.11550632911392406
IT,0.6856604662114434
LG,0.3489352730339448
LO,0.3788501026694045
MA,0.00967741935483871
MM,0.08108108108108109
MS,0.012658227848101266
NA,0.20408163265306123
NE,0.14389359129383314
NI,0.3480916030534351
OH,0.0
OS,0.0851063829787234
PF,0.03940886699507389
PL,0.19658119658119658
RO,0.3103015075376884
SC,0.31981981981981983
SD,0.2724252491694352
SE,0.3264840182648402
SI,0.4618181818181818
SY,0.4205079962370649
