subfield,acc
AI,0.1524705882352941
AR,0.14893617021276595
CC,0.2703273495248152
CE,0.12211221122112212
CG,0.36684303350970016
CL,0.46464056107539453
CR,0.39037433155080214
CV,0.5909789851358278
CY,0.08024691358024691
DB,0.1927710843373494
DC,0.258364312267658
DL,0.37158469945355194
DM,0.27207062600321025
DS,0.3130227001194743
ET,0.23333333333333334
FL,0.29178470254957506
GL,0.0
GR,0.017964071856287425
GT,0.38386648122392214
HC,0.16032608695652173
IR,0.14263074484944532
IT,0.6971535230984601
LG,0.3594164456233422
LO,0.39564787339268054
MA,0.026627218934911243
MM,0.07172995780590717
MS,0.055944055944055944
NA,0.19672131147540983
NE,0.16052631578947368
NI,0.3528055342044581
OH,0.0
OS,0.05357142857142857
PF,0.05909090909090909
PL,0.20058997050147492
RO,0.32116788321167883
SC,0.36752136752136755
SD,0.3215339233038348
SE,0.32548179871520344
SI,0.4698972099853157
SY,0.45340501792114696
