subfield,acc
AI,0.14526710402999063
AR,0.15555555555555556
CC,0.3057671381936888
CE,0.10097719869706841
CG,0.3375224416517056
CL,0.47423277359583094
CR,0.4113238967527061
CV,0.5902413431269675
CY,0.06100217864923747
DB,0.14613180515759314
DC,0.26227897838899805
DL,0.3463414634146341
DM,0.30492898913951544
DS,0.3224212476837554
ET,0.29931972789115646
FL,0.3205882352941177
GL,0.0
GR,0.028735632183908046
GT,0.39136490250696376
HC,0.136986301369863
IR,0.12479201331114809
IT,0.6991377301328362
LG,0.35620563562056357
LO,0.39707419017763845
MA,0.04242424242424243
MM,0.06018518518518518
MS,0.02531645569620253
NA,0.24
NE,0.13114754098360656
NI,0.3441021788129226
OH,0.0
OS,0.125
PF,0.05235602094240838
PL,0.21492537313432836
RO,0.32769044740024184
SC,0.3612167300380228
SD,0.3466666666666667
SE,0.30699774266365687
SI,0.45975232198142413
SY,0.42592592592592593
