subfield,acc
AI,0.003632192697380998
AR,0.0
CC,0.0004386926957666155
CE,0.0
CG,0.0
CL,0.002694786174575278
CR,0.0005150214592274678
CV,0.00036410923276983096
CY,0.0
DB,0.0
DC,0.0
DL,0.0
DM,0.0
DS,0.0
ET,0.0
FL,0.001184834123222749
GL,0.0
GR,0.0
GT,0.00027948574622694243
HC,0.0
IR,0.0
IT,0.014694220273359145
LG,0.0
LO,0.0028351559335763467
MA,0.0
MM,0.0
MS,0.0
NA,0.0
NE,0.00025348542458808617
NI,0.0
OH,0.0
OS,0.0
PF,0.0
PL,0.0
RO,0.0
SC,0.0
SD,0.0
SE,0.0
SI,0.0
SY,0.0
