subfield,acc
AI,0.15483563601715103
AR,0.12727272727272726
CC,0.3049040511727079
CE,0.11650485436893204
CG,0.3551236749116608
CL,0.4782359679266896
CR,0.41100917431192663
CV,0.5872561768530559
CY,0.07991360691144708
DB,0.19302949061662197
DC,0.28232971372161897
DL,0.3411764705882353
DM,0.29848363926576216
DS,0.31271676300578033
ET,0.3067484662576687
FL,0.2791411042944785
GL,0.0
GR,0.022099447513812154
GT,0.4002932551319648
HC,0.15762273901808785
IR,0.1377551020408163
IT,0.7025495750708215
LG,0.3645721638430195
LO,0.3828045035823951
MA,0.022082018927444796
MM,0.05286343612334802
MS,0.005952380952380952
NA,0.2727272727272727
NE,0.1419828641370869
NI,0.3470817120622568
OH,0.0
OS,0.13953488372093023
PF,0.05859375
PL,0.19760479041916168
RO,0.34648581997533906
SC,0.3385416666666667
SD,0.3431952662721893
SE,0.3514644351464435
SI,0.4743401759530792
SY,0.4344335414808207
