subfield,acc
AI,0.13636363636363635
AR,0.18446601941747573
CC,0.27052631578947367
CE,0.08256880733944955
CG,0.3606271777003484
CL,0.4628297362110312
CR,0.4099173553719008
CV,0.5986203372508943
CY,0.08172043010752689
DB,0.16422287390029325
DC,0.260989010989011
DL,0.25125628140703515
DM,0.305
DS,0.3115246098439376
ET,0.2727272727272727
FL,0.3002832861189802
GL,0.0
GR,0.01639344262295082
GT,0.40229885057471265
HC,0.1523545706371191
IR,0.14262820512820512
IT,0.6950959488272921
LG,0.3521795425118688
LO,0.4127659574468085
MA,0.01639344262295082
MM,0.07207207207207207
MS,0.005555555555555556
NA,0.21830985915492956
NE,0.16356877323420074
NI,0.3505392912172573
OH,0.0
OS,0.0
PF,0.041666666666666664
PL,0.27647058823529413
RO,0.33799237611181704
SC,0.3817427385892116
SD,0.3216374269005848
SE,0.33072407045009783
SI,0.4780380673499268
SY,0.3994614003590664
