subfield,acc
AI,0.1383132530120482
AR,0.08256880733944955
CC,0.2936259143155695
CE,0.09876543209876543
CG,0.3676222596964587
CL,0.4859197124026363
CR,0.4038301415487094
CV,0.5935155412647374
CY,0.07547169811320754
DB,0.18181818181818182
DC,0.2580019398642095
DL,0.3626943005181347
DM,0.30230642504118616
DS,0.31386861313868614
ET,0.24277456647398843
FL,0.32142857142857145
GL,0.0
GR,0.04430379746835443
GT,0.4025069637883008
HC,0.1478494623655914
IR,0.15294117647058825
IT,0.6984536082474226
LG,0.3631477101698559
LO,0.3989795918367347
MA,0.02531645569620253
MM,0.09259259259259259
MS,0.020689655172413793
NA,0.2191142191142191
NE,0.17058096415327564
NI,0.35015290519877673
OH,0.0
OS,0.08823529411764706
PF,0.04020100502512563
PL,0.21791044776119403
RO,0.3402948402948403
SC,0.4017467248908297
SD,0.3112391930835735
SE,0.3467741935483871
SI,0.45623145400593473
SY,0.4302536231884058
