subfield,acc
AI,0.14133591481122942
AR,0.14814814814814814
CC,0.26419213973799127
CE,0.08895705521472393
CG,0.3487603305785124
CL,0.448667044809983
CR,0.3977371627502176
CV,0.5844940867279895
CY,0.0967741935483871
DB,0.15294117647058825
DC,0.2583497053045187
DL,0.3862433862433862
DM,0.28738512949039263
DS,0.3189755529685681
ET,0.29012345679012347
FL,0.3398876404494382
GL,0.0
GR,0.03888888888888889
GT,0.37516339869281046
HC,0.15989159891598917
IR,0.1298932384341637
IT,0.6993055555555555
LG,0.3660848954966602
LO,0.405811623246493
MA,0.022727272727272728
MM,0.0782608695652174
MS,0.0
NA,0.21287128712871287
NE,0.1421383647798742
NI,0.3305534495830174
OH,0.0
OS,0.0851063829787234
PF,0.04054054054054054
PL,0.22884012539184953
RO,0.33375796178343947
SC,0.3611111111111111
SD,0.2733118971061093
SE,0.3010989010989011
SI,0.4710682492581602
SY,0.4343891402714932
