subfield,acc
AI,0.13707317073170733
AR,0.14634146341463414
CC,0.27464008859357697
CE,0.11214953271028037
CG,0.36330935251798563
CL,0.4737152982870644
CR,0.4112627986348123
CV,0.5818414322250639
CY,0.09341825902335456
DB,0.17796610169491525
DC,0.2408622305529522
DL,0.3435897435897436
DM,0.3041988003427592
DS,0.3148831488314883
ET,0.2542372881355932
FL,0.30340557275541796
GL,0.0
GR,0.01098901098901099
GT,0.3687845303867403
HC,0.1631578947368421
IR,0.15057283142389524
IT,0.6827956989247311
LG,0.3578315834583244
LO,0.38204592901878914
MA,0.009554140127388535
MM,0.07392996108949416
MS,0.024844720496894408
NA,0.22727272727272727
NE,0.14414414414414414
NI,0.34034833091436867
OH,0.0
OS,0.13953488372093023
PF,0.05472636815920398
PL,0.2191780821917808
RO,0.31704260651629074
SC,0.38396624472573837
SD,0.3215339233038348
SE,0.3265720081135903
SI,0.46843335931410757
SY,0.4297597042513863
