subfield,acc
AI,0.16076555023923444
AR,0.1717171717171717
CC,0.27473684210526317
CE,0.09271523178807947
CG,0.2998236331569665
CL,0.46432889963724305
CR,0.3723404255319149
CV,0.585189021232522
CY,0.08102345415778252
DB,0.1712538226299694
DC,0.27354709418837675
DL,0.4207920792079208
DM,0.28082736674622116
DS,0.32166172106824925
ET,0.25903614457831325
FL,0.3286908077994429
GL,0.0
GR,0.03636363636363636
GT,0.37787356321839083
HC,0.12432432432432433
IR,0.1522491349480969
IT,0.67964765878535
LG,0.3609671848013817
LO,0.3866923818707811
MA,0.026936026936026935
MM,0.08583690987124463
MS,0.011695906432748537
NA,0.2045977011494253
NE,0.1596958174904943
NI,0.3549815498154982
OH,0.0
OS,0.0392156862745098
PF,0.05045871559633028
PL,0.20266666666666666
RO,0.3719745222929936
SC,0.405982905982906
SD,0.29411764705882354
SE,0.3333333333333333
SI,0.4988416988416988
SY,0.43790248390064396
