subfield,acc
AI,0.0
AR,0.0
CC,0.0
CE,0.0
CG,0.0
CL,0.004335090802577621
CR,0.0008583690987124463
CV,0.0002600780234070221
CY,0.0
DB,0.0
DC,0.0
DL,0.0
DM,0.0
DS,0.0
ET,0.0
FL,0.0
GL,0.0
GR,0.0
GT,0.0
HC,0.0
IR,0.0
IT,0.016186966459859124
LG,0.00026048450117218026
LO,0.0014175779667881733
MA,0.0
MM,0.0
MS,0.0
NA,0.0
NE,0.0
NI,0.0
OH,0.0
OS,0.0
PF,0.0
PL,0.0
RO,0.0
SC,0.0
SD,0.0
SE,0.0
SI,0.0
SY,0.0
